timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,testRun
1780000000000,708,2. Find Flights,200,OK,BlazeDemo 1-6,text,TRUE,,7475,373,1,1,https://blazedemo.com/reserve.php,305,0,0,site1_50
1780000000000,305,2. Find Flights-0,302,Found,BlazeDemo 1-6,text,TRUE,,230,246,1,1,http://blazedemo.com/reserve.php,305,0,0,site1_50
1780000000000,403,2. Find Flights-1,200,OK,BlazeDemo 1-6,text,TRUE,,7245,127,1,1,https://blazedemo.com/reserve.php,397,0,0,site1_50
1780000000000,740,3. Purchase Page,200,OK,BlazeDemo 1-6,text,TRUE,,6946,256,2,2,https://blazedemo.com/purchase.php,305,0,0,site1_50
1780000000000,305,3. Purchase Page-0,302,Found,BlazeDemo 1-6,text,TRUE,,231,128,2,2,http://blazedemo.com/purchase.php,305,0,0,site1_50
1780000000000,435,3. Purchase Page-1,200,OK,BlazeDemo 1-6,text,TRUE,,6715,128,2,2,https://blazedemo.com/purchase.php,431,0,0,site1_50
1780000000000,912,1. Home Page,200,OK,BlazeDemo 1-7,text,FALSE,"The operation lasted too long: It took 912 milliseconds, but should not have lasted longer than 820 milliseconds.",4976,232,2,2,https://blazedemo.com/,346,0,39,site1_50
1780000000000,346,1. Home Page-0,302,Found,BlazeDemo 1-7,text,TRUE,,219,116,2,2,http://blazedemo.com/,346,0,39,site1_50
1780000000000,565,1. Home Page-1,200,OK,BlazeDemo 1-7,text,TRUE,,4757,116,2,2,https://blazedemo.com/,560,0,125,site1_50
1780000000000,764,4. Confirm Purchase,200,OK,BlazeDemo 1-6,text,TRUE,,6015,543,2,2,https://blazedemo.com/confirmation.php,305,0,0,site1_50
1780000000000,305,4. Confirm Purchase-0,302,Found,BlazeDemo 1-6,text,TRUE,,235,411,2,2,http://blazedemo.com/confirmation.php,305,0,0,site1_50
1780000000000,459,4. Confirm Purchase-1,200,OK,BlazeDemo 1-6,text,TRUE,,5780,132,2,2,https://blazedemo.com/confirmation.php,444,0,0,site1_50
1780000000000,707,2. Find Flights,200,OK,BlazeDemo 1-7,text,TRUE,,7475,373,1,1,https://blazedemo.com/reserve.php,305,0,0,site1_50
1780000000000,305,2. Find Flights-0,302,Found,BlazeDemo 1-7,text,TRUE,,230,246,1,1,http://blazedemo.com/reserve.php,305,0,0,site1_50
1780000000000,402,2. Find Flights-1,200,OK,BlazeDemo 1-7,text,TRUE,,7245,127,1,1,https://blazedemo.com/reserve.php,390,0,0,site1_50
1780000000000,793,3. Purchase Page,200,OK,BlazeDemo 1-7,text,TRUE,,6946,256,2,2,https://blazedemo.com/purchase.php,339,0,0,site1_50
1780000000000,339,3. Purchase Page-0,302,Found,BlazeDemo 1-7,text,TRUE,,231,128,2,2,http://blazedemo.com/purchase.php,339,0,0,site1_50
1780000000000,454,3. Purchase Page-1,200,OK,BlazeDemo 1-7,text,TRUE,,6715,128,2,2,https://blazedemo.com/purchase.php,452,0,0,site1_50
1780000000000,777,4. Confirm Purchase,200,OK,BlazeDemo 1-7,text,TRUE,,6015,543,2,2,https://blazedemo.com/confirmation.php,367,0,0,site1_50
1780000000000,367,4. Confirm Purchase-0,302,Found,BlazeDemo 1-7,text,TRUE,,235,411,2,2,http://blazedemo.com/confirmation.php,367,0,0,site1_50
1780000000000,410,4. Confirm Purchase-1,200,OK,BlazeDemo 1-7,text,TRUE,,5780,132,2,2,https://blazedemo.com/confirmation.php,408,0,0,site1_50
1780000000000,991,1. Home Page,200,OK,BlazeDemo 1-9,text,FALSE,"The operation lasted too long: It took 991 milliseconds, but should not have lasted longer than 820 milliseconds.",4976,232,2,2,https://blazedemo.com/,496,0,35,site1_50
1780000000000,496,1. Home Page-0,302,Found,BlazeDemo 1-9,text,TRUE,,219,116,2,2,http://blazedemo.com/,496,0,35,site1_50
1780000000000,494,1. Home Page-1,200,OK,BlazeDemo 1-9,text,TRUE,,4757,116,2,2,https://blazedemo.com/,492,0,110,site1_50
1780000000000,696,2. Find Flights,200,OK,BlazeDemo 1-9,text,TRUE,,7475,373,2,2,https://blazedemo.com/reserve.php,298,0,0,site1_50
1780000000000,298,2. Find Flights-0,302,Found,BlazeDemo 1-9,text,TRUE,,230,246,2,2,http://blazedemo.com/reserve.php,298,0,0,site1_50
1780000000000,398,2. Find Flights-1,200,OK,BlazeDemo 1-9,text,TRUE,,7245,127,2,2,https://blazedemo.com/reserve.php,398,0,0,site1_50
1780000000000,750,3. Purchase Page,200,OK,BlazeDemo 1-9,text,TRUE,,6946,256,3,3,https://blazedemo.com/purchase.php,304,0,0,site1_50
1780000000000,304,3. Purchase Page-0,302,Found,BlazeDemo 1-9,text,TRUE,,231,128,3,3,http://blazedemo.com/purchase.php,304,0,0,site1_50
1780000000000,446,3. Purchase Page-1,200,OK,BlazeDemo 1-9,text,TRUE,,6715,128,3,3,https://blazedemo.com/purchase.php,442,0,0,site1_50
1780000000000,4674,1. Home Page,200,OK,BlazeDemo 1-8,text,FALSE,"The operation lasted too long: It took 4,674 milliseconds, but should not have lasted longer than 820 milliseconds.",4976,232,3,3,https://blazedemo.com/,327,0,28,site1_50
1780000000000,327,1. Home Page-0,302,Found,BlazeDemo 1-8,text,TRUE,,219,116,3,3,http://blazedemo.com/,327,0,28,site1_50
1780000000000,4347,1. Home Page-1,200,OK,BlazeDemo 1-8,text,TRUE,,4757,116,3,3,https://blazedemo.com/,4104,0,1445,site1_50
